WeekEnding,HSCP,AdmissionType,AdmissionTypeQF,Specialty,SpecialtyQF,NumberAdmissions,Average20182019,PercentVariation
20200105,S37000001,All,d,Accident & Emergency,,23,16.5,39.4
20200105,S37000001,All,d,All,d,465,464.5,0.1
20200105,S37000001,All,d,Cancer,,20,12,66.7
20200105,S37000001,All,d,Cardiology,,7,15,-53.3
20200105,S37000001,All,d,Gynaecology,,11,3.5,214.3
20200105,S37000001,All,d,Medical (excl. Cardiology & Cancer),,223,232.5,-4.1
20200105,S37000001,All,d,Medical (incl. Cardiology & Cancer),,250,259.5,-3.7
20200105,S37000001,All,d,Paediatrics (medical & surgical),,47,44,6.8
20200105,S37000001,All,d,Paediatrics (medical),,42,41.5,1.2
20200105,S37000001,All,d,Paediatrics (surgical),,5,2.5,100
20200105,S37000001,All,d,Surgery,,134,139.5,-3.9
20200105,S37000002,All,d,Accident & Emergency,,20,18,11.1
20200105,S37000002,All,d,All,d,476,481,-1
20200105,S37000002,All,d,Cancer,,10,15,-33.3
20200105,S37000002,All,d,Cardiology,,14,15.5,-9.7
20200105,S37000002,All,d,Community,,36,46,-21.7
20200105,S37000002,All,d,Gynaecology,,5,5.5,-9.1
20200105,S37000002,All,d,Medical (excl. Cardiology & Cancer),,201,199,1
20200105,S37000002,All,d,Medical (incl. Cardiology & Cancer),,225,229.5,-2
20200105,S37000002,All,d,Paediatrics (medical & surgical),,49,41,19.5
20200105,S37000002,All,d,Paediatrics (medical),,44,37.5,17.3
20200105,S37000002,All,d,Paediatrics (surgical),,5,3.5,42.9
20200105,S37000002,All,d,Surgery,,141,140.5,0.4
20200105,S37000003,All,d,Accident & Emergency,,28,19.5,43.6
20200105,S37000003,All,d,All,d,270,285,-5.3
20200105,S37000003,All,d,Cancer,,9,6,50
20200105,S37000003,All,d,Gynaecology,,6,6.5,-7.7
20200105,S37000003,All,d,Medical (excl. Cardiology & Cancer),,115,138.5,-17
20200105,S37000003,All,d,Medical (incl. Cardiology & Cancer),,127,149,-14.8
20200105,S37000003,All,d,Paediatrics (medical & surgical),,40,34.5,15.9
20200105,S37000003,All,d,Paediatrics (medical),,40,34,17.6
20200105,S37000003,All,d,Surgery,,69,73.5,-6.1
20200105,S37000004,All,d,All,d,246,241,2.1
20200105,S37000004,All,d,Cancer,,5,5,0
20200105,S37000004,All,d,Cardiology,,5,4.5,11.1
20200105,S37000004,All,d,Community,,47,57,-17.5
20200105,S37000004,All,d,Medical (excl. Cardiology & Cancer),,99,92.5,7
20200105,S37000004,All,d,Medical (incl. Cardiology & Cancer),,109,102,6.9
